these reviews are always interesting  .
windows controls more than 89% of all personal computers yet there are only 600+ reviews on this board  .
mac holds a mere 11% and there is an excess of 2300+ reviews on their board (most of which are positive)  .
truth be told , mac fans will post a review simply to post a review  .
win reviews are usually completed by those who are pissed off enough to take the time  .
its a passion thing  .
in any event , i am an ex    apple guru who is quite happy with xp and the support of the entire computer industry  .
what can i say i love the dark side .
i'd been having problems with my machine for nearly a year , i is nearly at the end of my rope  .
i installed the windows xp upgrade a week ago on my win98se machine  .
other than having to get new drivers and software for my devices (not much of a problem though with a cable modem) , the installation went flawlessly  .
in fact , it nearly installs itself (only a bare minimum of user intervention)  .
i followed the instructions on the cd which included analyzing my system for compatibility issues and i deleted/uninstalled anything i did not need or that was not compatible with winxp  .
my machine is working perfectly  .
much better than it is with win98se  .
the upgrade solved the memory leak problem that used to have my machine seizing up every time i used it (also any time it sat idle well actually all the time)  .
it runs much faster and definitely more reliably  .
i recommend this upgrade wholeheartedly  .
for your info , my machine is an 800mhz dell  .
256 mb ram that started with the memory leak problem about a year ago when i got cable access  .
winxp fixed my problems .
i'm actually disappointed in the windows xp upgrade from windows 98  .
why  .
because i have nothing to do now  .
i have spent many years spending endless frustrating hours working all the glitches out of all the other windows programs , so when i upgraded to xp , i expected endless hours of massaging  .
i had absolutely none to do , and now i'm lost  .
i do not know what to do with all that free time i suddenly found myself with  .
the faxing option actually works now with word , and the mail option works too , and i even got outlook express 6 to actually work and without spending endless hours trying different configurations  .
and my strictly dos programs       no problem  .
i have a friend that bought the xp upgrade , but she upgraded from me , and she has had nothing but problems  .
i half suspect user error , but it could be that me is more jealous than 98  .
my other guess would be not enough disk space on her hard drive .
xp is the best os to date  .
i had minor driver problems when i first upgraded , but most hardware manufacturers have updated drivers that were easy to install  .
xp has never crashed on me , and it runs all of my programs much better then winme did  .
i advise everyone to upgrade  .
the nt file system is great  .
well i dont know about why people say this operating system is not good  .
what can i say  .
people are stupid  .
this is just not any different than everything else  .
people are so stupid to say that windows xp is bad  .
the kernel not once crashed  .
it not once required a restart to fix a problem  .
it handles all programs for previous versions of windows better  .
computers with over 500mhz and 256mb of ram will surely see the difference  .
it is worth buying  .
if you got a slow computer not worth trying to buy more ram and processor to run it  .
just buy a new computer when you can which comes with winxp preinstalled  .
best deal for your money and you wont have to take it to customer support for a long time  .
the windows update fixes are not even required since the initial final release is 100% stable due to the excellent beta tests  .
its a must have for the serious multimedia user .
xp came pre    installed on the new hp i bought (1  .
4 ghz , 256 ram) , and after using win 98se for eons (or at least that's what win 98 makes it seem like) , i have to say this is a vast improvement  .
no more blue screen of death , looks divine , and does everything i need it to  .
a few issues with some older games , but compatibility mode has fixed that problem effectively  .
i'm no computer guru , but coming from someone who is skeptical about upgrading , go for it  .
so , i'm just an average guy  .
i'm not a computer whiz or programming master  .
i want something easy to use and reliable  .
windows xp is just that  .
with windows me i is constant crashing and getting error messages  .
not only have i found xp to be error free , but mp'3s play better , cd's burn faster , graphics look sharper , applications run faster , and the list goes on and on  .
installation is quick and painless too  .
the only problems were that norton anti    virus 2001 is incompatible , and so is easy cd creator 4  .
but with the integrated cd burning capabilities of xp , easy cd creator will be hardly missed  .
and purchasing norton for $30 is no big deal  .
again , all and all , if you have windows me , i highly recommend you upgrade  .
everything is better , (from a point of view of just an average guy  .
windows xp has got to be the best operating system that microsoft has ever put out  .
it does not matter what pc company you go with , as long as you're working with windows xp you're o  .
i mean , you could even build your own pc with a 1 ghz processor , a 20 gb hard drive , and 256 mb of ram on the system , and you'd be just fine as long as you had the new window's xp operating system on your pc  .
it is truly the great equalizer because it allows a cheap pc to compete with the big boys .
when i first tried to install xp i got errors , crashes , the upgrade cd denied that i is entitled to the upgrade , but after hours of fighting i did get it to install  .
it runs very well , better than any previous version , has not evcen hinted at crashing and has great features  .
the best feature is the automatic upgrade finder  .
this one is money well spent .
none of my drivers worked , and it's slow slow slow  .
plus the interface is horrendous  .
one big step backwards .
so what if it makes it too easy for newbies  .
it is also stable as hell  .
vast improvement over 98  .
i had few/minor compatability issues with old software and no hardware issues with a 1999 pc .
first off you idiot ou there that say this os sux are a buch of crybabies  .
i have not had a problem yet your computers must just suck and u do not spend enough time on them to get to know them  .
and you orblem must come from beta versions and istall xp over 98  .
the true computer guru knows you never istall a os over another os  .
congrats to bill and the team on all there work .
by now , you've probably seen all the bad reviews by people who 1  .
haven't even tried xp yet 2  .
are just plain biased against pc's and microsoft i say , listen to your own thoughts  .
who cares if microsoft copied it off of macintosh  .
i don't see an os x dock anywhere , do i  .
and where's the trademark apple  .
if having a better interface for the pc means having a mac rip    off , i'm all for it  .
right now , i'm not even seeing any bad reviews based on the product itself  .
many are actually giving previews of the product  .
i'm seeing , oh my god , microsoft is a monopoly so don't buy it etc  .
get real  .
my high school friends and i are more mature than most of you people  .
review the product as it is  .
many people , including myself , don't care if microsoft did this or that  .
we just want a stable , user    friendly os  .
i just got xp and i find it to be an excellent os  .
i like the new interface enhancements  .
i like the fact that it's based on win2000  .
my system is far more stable as a result  .
my frequent daily crashes and lock    ups have now stopped  .
i mean jeez  .
i'm certainly not switching to a whole new system such as a mac and i'm sure a lot of people aren't ready either  .
and don't forget the bugs in os x when it is first released  .
at least xp is more stable  .
i'm not trying to flame anyone but do not give the product bad scores because of a personal vendetta  .
i certainly dont want to flame the mac and linux users since i own an i    mac and a system running red    hat linux  .
however , i also need a history lesson on windows  .
comparing os's is like comparing wheels  .
it's like saying , oh , the rubber wheel is a rip    off of our good    ol stone wheel , let's not use it  .
use the product before you review it  .
windows xp to me    thumbs up  .
i've been using the preview program for a few months  .
xp reallt does work a lot better then me .
i believe xp to be the best    though i have not used it yet , i still know just about everything 'bout it pc    assistant  .
net  .
first of all , you know that technically you have to have a seperate copy for each computer you run anyway dont you  .
this os has not locked on me once in two weeks  .
installation is also the most error free process i have seen since dos .
this is the best since 95 stable , and make diffrent computer sys run better  .
if u dont like it dont buy it its as simple as that  .
i love it and will have it on all my computers  .
i upgraded my 98 s/e to xp and have not been disappointed  .
the only time i have to re    boot is when i down load something like a virus update and it tells me to  .
its compatibility with my accessories is awesome  .
on some things i didnt even have to load the disk  .
just plugged in the product and it worked  .
when i'm playing around and screw something up i cant fix the go back or set back feature is great  .
just re    set my computer back a day  .
i have had xp now for about 8 months and i have not had a single problem with it  .
just took a little getting use to where everything is  .
i upgraded from windows me  .
compatibility problems with xp is the only thing to be concerned about  .
other than that , xp home ed  .
upgrade is superior to windows me .
i recently switched from the macintosh platform because i could no longer afford the hardware  .
i must say that xp pro has been simply awesome  .
fast , stable and filled with features  .
microsoft's finest effort  .
finally , an operating system that delivers what it promises  .
my computer is faster , my hard drive is running beautifully , and the look and feel is extraordinary  .
the only thing that surprised me is that most of my tsr programs (like gator , instant messenger , etc ) did not load up automatically after i upgraded  .
i had to go into each of those programs and tell it to launch with windows again  .
hmmmmm but a minor complaint compared to the big picture  .
i think microsoft should come down on the price , though  .
for all the money they make , they could have charged half the price .
a big improvement over windows 98  .
i have been using it for acouple of months now and it has never crashed , say goodbye to the blue screen of death .
i could not decide if i should get win2000 or xp for my new laptop  .
in the end i got xp  .
so far it has out preformed win2000  .
i am happy xp'er  .
i decided 6 months ago to switch to mac computers , but since i do not yet have the money i decided to upgrade to xp  .
i is so fed up with me crashing almost daily that the stability of xp is great  .
being aesthetically inclined , the move to a more artsy/mac os interface is something else that i appreciate  .
like nearly all , i hate the product activation , but is too much of a sucker for the stability and attractive gui to resist  .
overall , i like it much better than windows 9x       it is faster , more stable , and more attractive .
yes , the win  .
xp is another cheap imitation of the mac interface  .
and they do it without a shame , with a group of people that use their system blindly without trying other oses , i've tried both windows and mac , and of course i settled for a mac .
love it , love it , love it the reason that i love it so much may be due to the fact that that i have been putting up with windows98 for to long .
i have found no problems installing all my old 98/me programs (new vius protection is allready on sale or on download)  .
its very stable unlike 9x and 2000 before it my trial version is working on 2 differing machines , you pay for what you get  .
some people are moaning for the sake of it still  .
linux variations have a lot of work to do now to catch up agin .
i think its great , i could go into what everyone else has , but basically my pc runs better , with less crashes and freeze ups  .
i recommend xp to anyone  .
i have a cable modem and i am online basically 18 hours a day , everyday , without fail  .
i have yet to encounter a problem  .
ive had xp almost a year now  .
great product  .
i like many got winxp with a new computer (gateway)  .
i is uncertain at the start , but i now have to say that i really like xp much better  .
i probably should paid the extra $99 for the pro version , but i didn't plan to use the extra capabilities  .
i thought i would have problems installing my scanner , webcam , cable modem , mouse , zip drive , etc  .
i had pulled out all my hardware drivers (like you normally have to do with win98) just in case i needed them  .
not once did i have to use those disks  .
win xp recognized all my hardware without a hitch  .
all the software i installed went without any problems while running norton internet security 2003  .
the one thing i would say is don't install the newwindows media 9 (beta) because it still has some bugs  .
the only way to uninstall it is through the system restore  .
you might want to invest in a good book on xp  .
i just cannot understand why so many people are having problems with xp or for that matter win 98  .
win 98 rarely give me the blu screen of death , but it is no big deal  .
when i installed a piece of software or hardware , i just made sure all the memory resident software were disabled so i would not increase my chances of getting an error message  .
i also don't let win xp take over those common tasks normally performed by other software manufactures (i  .
, cd copier/burner , firewall , etc  .
) you just have to leave that stuff to other companies who have been doing it for a long time  .
i do have to say that xp's movie maker is a nice piece of software  .
i used on a couple of projects and it worked great  .
about the only complaint i have is that i wish it is more compatible with win2k  .
my father and i tried to make a connection via webcam and we couldn't quite make it work  .
seems winxp (home) and win2k do not quite talk to each other even if we both use ms messenger  .
we're in the process of trying yahoo's messager to see if anything changes .
the multiple user profiles can be a pain , especially when you have traditionaly had one email account  .
with the multiple users one user can open email meant for another and the person it is meant for may never get it  .
there are ways around this , but it ought to be built in .
i think m$ is finally getting down to business and creating a very nice looking and stable os i hope they keep it up .
once again i really don't have the right to put my thumb down since i got my copy installed for free  .
you do have to activate it online tho to avoid piracy , but m$ is not concerned with 1 person using it 2 or 3 times , they are more intrested in catching big time bootleggers  .
this new operating system is very crisp and never crashes , it is not compatable with somethings but i work through it  .
xp is a good move , just do not get that plus add on pack .
upgraded from 98 on a p3 256 used for games music mainly , found everything to run a whole lot better  .
no real problem installing , had to contact my broadband connection provider download a patch for sony cd burner  .
well worth the $$$$ .
i bought windows xp home edition for my computer , and i think it's the best operating system yet  .
i is downloading 3 very large files , and playing an online game at the same time , and everything is as fast as could be  .
thank god for microsoft  .
after spending the last couple if years with win98 , this is like a small miracle  .
where i would have to reboot 98 at least once a day , usually more , i have not had to do that with xp  .
for the increase in stability , its worth the money .
this upgrade is only for the folks who upgraded from the previous windows nightmares , 3  .
1 , 95 , 98 , 98se , and winme  .
like with all the other upgrades things will not work  .
but the final product is worth the wait  .
smoother operation , better grafic support , stability , just works better than the rest  .
drivers for some hardware are hard to find and long on the downloads  .
some are non    existant  .
they could have done better in that regard .
all i have to say is its about time microsoft did something right very stable havent had a problem yet do yourselves a favor do a fresh install dont like there activation policy but if you look real hard there is a way around it wink wink    )  .
i've been using windows xp home for about a week and everything's worked fine  .
all my programs work , the home network that's connected to another winme machine still works fine , and the os is much faster and more stable ; it hasn't crashed yet  .
there are only some minor issues with the os  .
one , although i can understand that ms doesn't want it's software pirated as freely as previous versions i don't think people should have to buy a copy for every system  .
i'm a little annoyed about having to purchase a copy for every pc (i'm not by the way  .
i'm only putting xp on my main computer , ) but that's what you agree to when you sign the eula  .
two , microsoft did try to get me to get a  .
net account but i simply just diabled it , i have not seen it since  .
it's a big improvement over ms' previous home    oriented versions of windows .
microsoft windows xp is an extremely stable operating system by far , yes grunts going on i hear , and brings relief to me after years as a dos user  .
i am just used to restarting my system three times just because my operating system had crashed , and a great excuse for not handing in your homework  .
however , since using microsoft windows xp , and that i is to speculate that it would be all froth , no substance scheme , i never had to restart my computer , even from the installation , on thursday 25th october 2001 , just over a week from now  .
new improved tools , like disk defragmentiser and scandisk and yes , you can you can use third party tools as well  .
as for the operating system being faster , yes it is faster but only just and for the i am extremely impressed with this operating system and as for windows product activation , it did not take me more then four minutes to activate my version of microsoft windows xp  .
slight hitches , driver reinstallation and the start menu not working , as i like  .
just defragmentise your hard    drive after you have installed microsoft windows xp and all your applications , it will optimise your system by far .
i installed xp on a me machine and it completely loaded in less than 30 minutes  .
a freeze up problem that i had from day one with me is gone and i could not be more satisfied with the upgrade  .
if you have no problems with your current os then stick with it , but i have had glitches at all since the upgrade .
xp is by far the best version of windows to date  .
it's very stable but what attracts me most to it is the speed  .
