,f,p,r
accuracy garmin nuvi 255W gps,0.18181817773654926,0.12727272727272726,0.3181818181818182
accuracy garmin nuvi 255W gps,0.11428571091836746,0.07272727272727272,0.26666666666666666
accuracy garmin nuvi 255W gps,0.09374999758300787,0.05454545454545454,0.3333333333333333
accuracy garmin nuvi 255W gps,0.17391304024364634,0.10909090909090909,0.42857142857142855
accuracy garmin nuvi 255W gps,0.05882352631920431,0.03636363636363636,0.15384615384615385
bathroom bestwestern hotel sfo,0.34920634448979593,0.28205128205128205,0.4583333333333333
bathroom bestwestern hotel sfo,0.264150939508722,0.1794871794871795,0.5
bathroom bestwestern hotel sfo,0.18181817769256206,0.1282051282051282,0.3125
bathroom bestwestern hotel sfo,0.13333332878333348,0.10256410256410256,0.19047619047619047
bathroom bestwestern hotel sfo,0.3272727231471075,0.23076923076923078,0.5625
battery-life amazon kindle,0.20895522057473828,0.1320754716981132,0.5
battery-life amazon kindle,0.20895522057473828,0.1320754716981132,0.5
battery-life amazon kindle,0.21686746526346357,0.16981132075471697,0.3
battery-life amazon kindle,0.23999999585422227,0.16981132075471697,0.4090909090909091
battery-life amazon kindle,0.24324323917823232,0.16981132075471697,0.42857142857142855
battery-life ipod nano 8gb,0.1355932173053721,0.08333333333333333,0.36363636363636365
battery-life ipod nano 8gb,0.24657533796209427,0.1875,0.36
battery-life ipod nano 8gb,0.14925372728001793,0.10416666666666667,0.2631578947368421
battery-life ipod nano 8gb,0.12903225456815828,0.08333333333333333,0.2857142857142857
battery-life ipod nano 8gb,0.036363634142148896,0.020833333333333332,0.14285714285714285
battery-life netbook 1005ha,0.17977527729327109,0.11764705882352941,0.38095238095238093
battery-life netbook 1005ha,0.07142856834467133,0.04411764705882353,0.1875
battery-life netbook 1005ha,0.22784809886877105,0.1323529411764706,0.8181818181818182
battery-life netbook 1005ha,0.07142856834467133,0.04411764705882353,0.1875
battery-life netbook 1005ha,0.07142856834467133,0.04411764705882353,0.1875
buttons amazon kindle,0.11999999656800012,0.07692307692307693,0.2727272727272727
buttons amazon kindle,0.11764705522491362,0.07692307692307693,0.25
